state,acronym,x,y
Acre,AC,-410,116
Alagoas,AL,435,90
Amazonas,AM,-280,236
Amapá,AP,65,380
Bahia,BA,300,38
Ceará,CE,370,200
Distrito Federal,DF,158,-50
Espírito Santo,ES,322,-158
Goiás,GO,100,-47
Maranhão,MA,210,219
Minas Gerais,MG,224,-122
Mato Grosso Do Sul,MS,-15,-164
Mato Grosso,MT,-36,16
Pará,PA,35,230
Paraíba,PB,440,150
Pernambuco,PE,387,125
Piauí,PI,284,140
Paraná,PR,60,-270
Rio De Janeiro,RJ,264,-223
Rio Grande Do Norte,RN,440,185
Rondônia,RO,-220,78
Roraima,RR,-175,399
Rio Grande Do Sul,RS,20,-393
Santa Catarina,SC,85,-335
Sergipe,SE,415,66
São Paulo,SP,125,-209
Tocantins,TO,145,87
